id_x,meldung_id,matrix_id,ergaenzung,id_y,titel
297,19,1,fresh foodstuff,19,Food packaging as organophosphate ester source
298,19,1,food-packaging material,19,Food packaging as organophosphate ester source
548,156,1,Futtermittel für Geflügel ,156,Fraud hits Polish feed industry
549,156,125,poultry from Poland,156,Fraud hits Polish feed industry
996,360,1,food supplements,360,"Portuguese crackdowns target meat, supplements, and olive oil"
997,360,52,,360,"Portuguese crackdowns target meat, supplements, and olive oil"
998,360,67,olive oil,360,"Portuguese crackdowns target meat, supplements, and olive oil"
1762,621,1,food supplements,621,Soy-containing foods and food supplements:
1763,621,39,,621,Soy-containing foods and food supplements:
1764,621,58,,621,Soy-containing foods and food supplements:
1765,621,99,,621,Soy-containing foods and food supplements:
1805,861,1,insects products,861,New insights into Bacillus cytotoxicus
1806,861,2,"potato flakes, starch",861,New insights into Bacillus cytotoxicus
