matrix_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Économie circulaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique
1,0,5,1,3,0,7,1,0,0,0,0,0
3,0,3,1,0,0,0,0,0,0,1,0,0
5,0,1,0,0,0,0,0,0,0,1,0,0
7,2,1,0,0,0,0,0,0,1,0,0,0
8,0,1,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,1,0,0,0,0,0,0
22,0,0,1,0,0,0,0,0,0,0,0,0
23,0,0,1,0,1,0,0,0,0,1,0,0
24,0,0,1,0,1,0,0,0,0,0,0,0
27,0,0,0,0,0,2,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,1,0,0
34,0,2,0,0,1,1,0,0,0,0,0,0
35,0,0,0,0,0,1,0,0,0,0,0,0
39,0,0,0,0,0,2,0,0,0,0,0,0
46,0,0,0,0,0,0,1,0,0,0,0,0
48,0,0,0,0,1,0,0,0,0,0,0,0
56,0,1,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,1,0,0,0,0,0,0
59,1,0,0,0,0,0,0,1,0,0,1,1
60,1,0,1,0,0,0,0,0,0,0,0,0
65,0,0,2,0,0,0,0,0,0,0,0,0
67,0,1,0,0,0,0,0,0,0,0,0,0
79,0,0,1,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,1,0,0,0,0,0,0
82,1,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,1,0,0,0,0,0
99,0,0,0,0,0,1,0,0,0,0,0,0
133,0,0,1,0,0,0,0,0,0,0,0,0
142,0,1,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,1,0,0,0,0,0,0
