gefahr_id,Technological innovations and scientific advances,Urbanization and urban agriculture,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Ecology
45,1,0,0,0,2,0,0,0
55,0,0,0,0,1,0,0,0
79,0,0,0,0,1,0,0,0
90,0,0,1,0,0,0,0,0
92,0,0,0,0,2,0,0,0
103,0,0,0,0,1,0,0,0
106,1,0,0,0,1,1,0,0
108,0,0,0,0,1,0,0,0
126,0,1,0,0,1,0,0,1
127,0,0,0,0,1,0,0,0
142,0,0,0,0,1,0,0,0
174,0,0,0,0,1,0,0,0
197,1,0,0,0,0,0,0,0
234,0,0,0,0,1,0,0,0
236,0,0,0,0,1,0,0,0
273,0,0,0,0,2,0,0,0
274,0,0,0,1,0,0,0,0
290,0,0,0,0,1,0,0,0
301,0,0,0,0,1,0,0,0
311,0,0,0,0,1,0,0,0
315,0,0,0,1,0,0,0,0
316,1,0,0,0,1,0,1,0
335,0,0,0,1,1,0,0,0
