matrix_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
1,0,0,0,0,0,3,4,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0
3,0,1,1,0,0,0,4,0,0,0,0,0
6,0,0,0,0,1,1,0,0,0,0,0,0
8,0,0,0,0,0,0,2,0,0,0,0,0
9,1,1,0,0,0,0,3,0,0,1,0,0
21,0,0,0,0,0,1,0,0,0,0,0,0
22,0,0,0,0,0,0,2,0,0,0,0,0
23,0,0,1,0,0,1,4,0,0,0,0,0
24,0,0,0,0,0,0,1,0,0,0,0,0
26,0,0,0,1,0,0,0,0,0,0,0,0
27,0,0,0,0,0,1,0,0,0,0,0,0
30,0,0,0,0,0,0,2,0,0,0,0,0
33,0,0,0,0,0,0,1,0,0,0,0,0
34,0,2,1,1,0,0,4,0,0,0,0,0
38,0,0,0,0,0,0,1,0,0,0,0,0
39,0,0,0,0,1,0,0,0,0,0,0,0
45,0,0,0,0,0,0,1,0,0,0,0,0
54,0,0,0,0,0,0,6,0,0,0,0,0
55,0,0,0,0,0,0,2,0,0,0,0,0
56,0,1,0,1,0,0,0,0,0,0,0,0
58,0,1,0,0,1,2,0,0,0,0,0,0
59,2,0,0,0,0,0,4,1,0,0,1,1
60,0,0,0,0,0,0,2,0,0,0,0,0
61,1,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,1,0,0,0,0,0,0
86,0,0,0,0,1,0,0,0,1,0,0,0
100,0,1,0,0,0,1,1,0,0,0,0,0
104,0,0,0,0,0,0,1,0,0,0,0,0
117,0,0,0,0,0,0,2,0,0,0,0,0
120,0,0,0,0,0,0,1,0,0,0,0,0
151,0,0,0,0,0,1,0,0,0,0,0,0
155,0,0,0,0,0,0,1,0,0,0,0,0
