gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Ecologia,Politica
2,0,0,0,0,0,0,0,1,0,0
18,0,0,0,0,0,0,0,1,0,0
19,1,0,0,0,0,0,0,0,0,0
26,0,1,0,0,0,0,0,4,0,0
63,0,0,0,0,0,0,0,1,0,0
86,0,0,0,0,0,0,0,1,0,0
87,0,0,0,0,0,0,0,2,0,0
88,0,0,0,0,0,0,0,2,0,0
93,0,1,0,1,0,0,0,0,1,0
94,0,0,0,0,1,1,0,0,0,1
99,1,0,0,0,0,0,0,0,1,0
111,0,0,0,0,0,1,0,0,1,0
119,0,0,1,0,0,0,0,0,1,0
137,1,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,1,0,0,1,0
231,0,0,0,0,1,0,0,0,0,0
244,0,0,0,1,0,0,0,4,0,0
256,1,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,1,0,0,0
427,0,0,1,0,0,0,0,0,1,0
457,0,0,1,0,0,0,0,0,1,0
464,1,0,0,0,0,0,0,0,0,0
